ITItem,RCA,Description
Rapid LR 2.0,Master Maintenance,Please Refresh for Rural Master Sync in Cache Memory REASON: Update in branch campaign Master & FIeld Allocation Master bfl_std_lake . rtl_cc .rpl_rapidlr_branch_campaign_master
Rapid LR 2.0,Master Maintenance,Please Refresh for Rural Master Sync in Cache Memory bfl_std_lake . rtl_cc .rpl_rapidlr_branch_campaign_master
Rapid LR 2.0,Master Maintenance,Hi Please refresh following table bfl_std_lake.mktg_web_wpb.web_app_master_lead_lounge
Rapid LR 2.0,Master Maintenance,Please Refresh for Rural Master Sync in Cache Memory REASON: Update in branch campaign Master & FIeld Allocation Master bfl_std_lake . rtl_cc .rpl_rapidlr_branch_campaign_master
Rapid LR 2.0,Master Maintenance,Please Refresh for Rural Master Sync in Cache Memory REASON: Update in branch campaign Master & FIeld Allocation Master bfl_std_lake . rtl_cc .rpl_rapidlr_branch_campaign_master
Rapid LR 2.0,Master Maintenance,Please Refresh for Rural Master Sync in Cache Memory REASON: Update in branch campaign Master bfl_std_lake . rtl_cc .rpl_rapidlr_branch_campaign_master
Rapid LR 2.0,Master Maintenance,"Hi, Please update the below mentioned Table master @Mohit Agarwal and @Mounika Pokala end- BFL_STD_LAKE . PL_COE_MART . LEAD_ID_MASTER_SPL This update is required because some sources data was excluding because of source and internal source was not updated."
Rapid LR 2.0,Master Maintenance,Hi @Shoumik Panandikar / @Suraj Bhambure Please sync the below tables bfl_std_lake.insurance_distribution.pincode_health_master bfl_std_lake.insurance_distribution.pb_campaign_master_rlr in Rapidlr Please refresh it after it refresh at ICORS. Note: I have already raised the ticket for ICORS refresh ( 6743210 )
Rapid LR 2.0,Master Maintenance,Please Refresh for Rural Master Sync in Cache Memory REASON: Update in Lead Lounge Master
Rapid LR 2.0,Master Maintenance,"HI, Please update the below mentioned master table at @Mohit Agarwal and @Mounika Pokala end- BFL_STD_LAKE . PL_COE_MART . LEAD_ID_MASTER_SPL"
Rapid LR 2.0,Clarification,BL & PPL realtime model is not receiving any leads post 18th July onwards. This has heavily impacted the model's outcome.
Rapid LR 2.0,Master Maintenance,"Hi @Suraj Bhambure , Please replace the Old default campaign by these new campaigns- Changes are only for PLPPL @Meetesh Kumar , as discussed both new campaigns are being allocated as CISCO_2 Old Campaign New Campaign BFL_RAPIDLR_PL_EMERGING_HINDI_BARE BFL_RLR_PLP_EME_AI_BOT_HIN_Pune BFL_RAPIDLR_PLCSG_P2_HINDI_BARE BFL_RLR_PLP_GR_AI_BOT_HIN_Pune"
Rapid LR 2.0,Master Maintenance,"Hi, Please update the master for below mentioned table @Mohit Agarwal and @Shoumik Panandikar end- BFL_STD_LAKE.PL_COE_MART.RAPIDLR_BRNCH_CHNL_MASTER"
Rapid LR 2.0,Clarification,"Hi @Suraj Bhambure , As we checked the data many of the shortcode's response business is not being stamped. Kindly check and validate why this is happening- Source responseBusiness mobile_count bajajfinmc 6273 bajajfinibd 18138 bfltppmcl4 18951 bflt1mcl2 20290 bflt1mcl5 514 bajajfinms 5590 bajajfinmcl8 26909 bfltppmcl2 1471 bflt1mcl4 30022 Bajajfinmcl17 94921 bajaj1mcl 18229 MCA_TPL 37914 bajajfincallz 32539 bfltppmcl1 135654 DNC_Growth 421 PLCS_Growth_V 221 bflplcspcinf 34583 VF_Urban 79998 bajaj2mcl 12552 bflt1mcl3 9309 bajajmclfrv 1939 bflt1mcl1 30767 PRSPGTH 18 bflt1inf1 13 bflplcseinf 1 bflt1inf3 1 bflt1inf2 1"
Rapid LR 2.0,Master Maintenance,"Hi, Please update the master @Mohit Agarwal and @Mounika Pokala end for below mentioned table- BFL_STD_LAKE . PL_COE_MART . RAPIDLR_BRNCH_CHNL_MASTER"
Rapid LR 2.0,Clarification,"Hi, As we checked the all the NTB feeds are excluding as reason stamping as Offer not available. Kindly check because in NTB case offer will not be available."
Rapid LR 2.0,Master Maintenance,"Hi, Please update the below mentioned table master at @Mohit Agarwal and @Mounika Pokala end- BFL_STD_LAKE . PL_COE_MART . LEAD_ID_MASTER_SPL BFL_STD_LAKE . PL_COE_MART . PRIORITY_MASTER_SPL"
Rapid LR 2.0,Master Maintenance,"Hi, Please update the master @Mohit Agarwal and @Mounika Pokala end for below mentioned table- BFL_STD_LAKE.PL_COE_MART.RAPIDLR_CAMPAIGN_MASTER"
Rapid LR 2.0,Clarification,"HI @Suraj Bhambure , Please check why SPL prime feeds are going to SPL growth Campaign, also Response business is stamping as SALPL Growth. logId correlationId mobile source internalSource status statusReason processor StartTime processorEndTime leadLoungeId platform subProduct eventName eventDescription cta hotnessPriority customerId prospectId identifier utmSource utmMedium utmCampaign responseBusiness processType priority pincode city state sourcingBranchId isGST loanAmount employmentType channelType channelBusiness channelLeadType leadTypeFlag interestType channel flag telecallingTeam prefLanguage enquirySource coolingPeriodInDays flagETBNTB paddedMobile offerEntryId offerStatusId offerId offerExtId dialerName dialerCampaign dialerSyncStatus smsCampaign smsSyncStatus loanApiStatus custDemogAPIStatus plcsAPIResponse statusHstUpdate smsResponse smsAPIStartTime smsAPIEndTime dialerStatus dialerStartTime dialerEndTime 525c30bb-3fc2-407e-93a1-6c0948b365b6 d95eca22-9dc7-4dab-08f6-54d7ffac7ffd-2b0bd602-04c9-0d99-4877-6153a09bcfe7 47943064E104E33F3DC36D1F651807656D4301C3CAED145C6A34225C5C85B2AB ONDC ONDC Eligible Eligible 7/31/2025 12:42:22 AM 42:22.2 ONDC SPL SPL_NTB_ONDC_B2C_SUMMARY JOURNEY_CLICK ONDC H4 SPL https://bap.credit.becknprotocol.io/personal-banking/loans/personal-loan 1 SALPL GROWTH P2 201303 NOIDA SALPL Prime <td style=""padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-size:11pt;font-family:""Aptos Narrow"","
Rapid LR 2.0,Clarification,"Hi @Suraj Bhambure , As we checked data is available in event hub but feeds are not flowing in Rapid LR. Kindly check what is the issue?- {""firstName"":"""",""lastName"":"""",""Mobile_Number__c"":""919953755715"",""utmSource"":""7065019444"",""utmCampaign"":""Bflsalplgmsc"",""utmMedium"":""VF_Urban"",""city"":""Delhi"",""employmentType"":"""",""dob"":"""",""pincode"":"""",""streetAddress1"":"""",""streetAddress2"":"""",""areaLocality"":"""",""panNumber"":"""",""email"":"""",""categoryField1"":"""",""eventType"":""valuefirst"",""state"":""MH"",""consentId"":"""",""EventProcessedUtcTime"":""2025-07-04T06:44:13.1830958Z"",""PartitionId"":0,""EventEnqueuedUtcTime"":""2025-07-04T04:33:57.3220000Z""}"
Rapid LR 2.0,Service Request,Hi @Mounika Pokala / @Suraj Bhambure Please sync the table bfl_std_lake.insurance_distribution.pincode_health_master in Rapidlr Please refresh it after it refresh at ICORS. Note: I have already raised the ticket for ICORS refresh ( 6888773 )
Rapid LR 2.0,Clarification,"Hi, As we checked the super app and web feeds are not flowing from 19th July- Row Labels AIRTEL DL GMB IVR email SUPERAPP valuefirst VOICEBOT WEB Grand Total 7/16/2025 34 5 2736 97 636 492 4000 7/17/2025 35 2 2735 851 922 502 5047 7/18/2025 17 1 1 825 989 482 140 2455 7/19/2025 11 2 1 842 547 1403 7/20/2025 134 134 Grand Total 97 10 2 6296 2913 2587 1134 13039 Kindly check"
Rapid LR: B2B Urban,Master Maintenance,Lead lounge master refresh : Adding Event to Rapid LR 1
Rapid LR 2.0,Master Maintenance,Hi Please refresh the tables bfl_std_lake.sme_coe.dj_rapid_lr_sme_offermart bfl_std_lake.sme_coe.mbls_campaign_rapidlr
Rapid LR 2.0,Clarification,"HI, We checked in most of the data Chanel type and response business is not stamping in rapid LR logs. Kindly check and start stamping . attaching file for your reference."
Rapid LR 2.0,Clarification,"Hi, Please check the attached file all feeds are excluding as Default campaign not set , despite all the branches are available in Branch Master of SALPL."
Rapid LR 2.0,Master Maintenance,Please Refresh for Rural Master Sync in Cache Memory bfl_std_lake . rtl_cc .rpl_rapidlr_branch_campaign_master Update:- Update for Bot routing of bfdl cases + Lead Lounge Master Refresh
Rapid LR 2.0 Wheels,IT Requests,"Hi Team, PFB snap where we have added campaigns in campaign master below table. bfl_std_lake.sme_coe.mbls_campaign_rapidlr kindly sync Rapid LR campaign Master for UCF."
Rapid LR 2.0 Wheels,Master Maintenance,"Hi Team, please check we have alreday updated master table still data not sync properly in given campaign. bfl_std_lake.sme_coe.mbls_campaign_rapidlr PFB Rapid LR table data where data is sync in only 1 campaign. Campaign name CISCO CISCO_2 (blank) Grand Total BFL_UCF_DIRECT_RAPIDLR_PUNE 7 7 BFL_UCF_RAPIDLR_H1_Hem_Mang 348 348 BFL_UCF_RAPIDLR_H1_Tam_Mang 1 1 BFL_UCF_RAPIDLR_H1_Tel_Mang 1 1 (blank) 227 227 Grand Total 350 7 227 584 kindly check."
Rapid LR 2.0,Clarification,"Hi Team, The BFDL team ingested and pushed approximately 62,000 records from their end yesterday, and as per the attached file, the push was successful. However, in our RapidLR system, we have received only around 4,100 feeds. Kindly check and confirm if there is any leakage or issue in the data flow. Regards, Nikhil Bhosale"
Rapid LR 2.0,Clarification,"Hi, Please check the attached data where in our SPL branch master branches are already mentioned but feeds are excluding as reason stamped Default campaign not available."
Rapid LR 2.0,Master Maintenance,"Hi, Please update the below mentioned master tables at @Mohit Agarwal and @Mounika Pokala end- BFL_STD_LAKE . PL_COE_MART . RAPIDLR_BRNCH_CHNL_MASTER bfl_std_lake . plds_biz . dnd_rk_campaign_master_ntb bfl_std_lake . pl_coe_mart . vw_ntb_master"
Rapid LR: PL Urban,Clarification,"Dear Team, Since 18th July 3in1 cases are not coming in RLR campaigns Kindly look into this on priority if any logic changes are done in the flow. Sample cases and screenshot in trail mail. Below are the sample cases. Loan Application Number B2C000139115107 B2C000139113460 B2C000139095423 B2C000139041968 B2C000139039170 B2C000139026997 B2C000139026892 B2C000139022285 B2C000139019090 B2C000138959492 B2C000138934924 B2C000138930787 B2C000138903252 B2C000138857011 B2C000138851412 B2C000138824464 B2C000138745797 B2C000138705624 B2C000138683086 B2C000138665272 B2C000138589015 B2C000139143138 B2C000139126285 B2C000139074799 B2C000139019495 B2C000138945307 B2C000138931080 B2C000138919719 B2C000138916262 B2C000138878444 B2C000138855130 B2C000138850774 B2C000138848782 B2C000138843032 B2C000138831255 B2C000138830029 B2C000138810873 B2C000138799211 B2C000138797036 B2C000138781461 B2C000138730701 B2C000138659394 B2C000138650871 B2C000138578102 Row Labels AIRTEL DL GMB IVR email SUPERAPP valuefirst VOICEBOT WEB Grand Total 7/16/2025 34 5 2736 97 636 492 4000 7/17/2025 35 2 2735 851 922 502 5047 7/18/2025 17 1 1 825 989 482 140 2455 7/19/2025 11 2 1 842 547 1403 7/20/2025 134 134 Grand Total 97 10 2 <td align=right style=""padding-top:1px;padding-right:1px;padding-left:1px;color:black;font-size:11pt;font-family:""Aptos Narrow"", sans-serif;vertical-align:bottom;border:none;font-weight:700;vertical-align:middle;border:0.5pt soli"
Rapid LR 2.0,Data Provide,"Hi Team, As discussed, please share request and response for below Source. please share 2-3 sample LEAD_SOURCE SOURCE Lead_Type Srouce_1 Internal_Source SRC_ New Tagging WEBSITE OUTBOUND Online CISCO VB WEBSITE Web_VF_mktg OB"
Rapid LR: PL Urban,Clarification,Validate DNC data that is being sent in Rapid LR for Calling Should have been excluded from calling base Need to check whether DNC is not being applied on this
Rapid LR 2.0,Master Maintenance,Hi @Shoumik Panandikar / @Suraj Bhambure Please sync the below tables bfl_std_lake.insurance_coe.rm_master_mapping in Rapidlr Please refresh it after it refresh at ICORS. Note: I have already raised the ticket for ICORS refresh (6748899 )
Rapid LR 2.0,Master Maintenance,"Hi, Please update the master for below mentioned table at @Mounika Pokala and @Mohit Agarwal end- BFL_STD_LAKE . PL_COE_MART . RAPIDLR_CAMPAIGN_MASTER"
Rapid LR 2.0,Master Maintenance,Hi @Shoumik Panandikar / @Suraj Bhambure Please sync the below tables bfl_std_lake.insurance_coe.rm_master_mapping in Rapidlr Please refresh it after it refresh at ICORS. Note: I have already raised the ticket for ICORS refresh ( 6761307 )
Rapid LR 2.0,Clarification,"Hi, Please check why feeds are not routing in the campaign BFL_RAPIDLR_PL_T1_TB_EHM_PUNE for T1 business where Process segmentation is PLTB and response business =T1"
Rapid LR 2.0,Master Maintenance,"Hi @Mohit Agarwal @Mounika Pokala , Please update the branch master for below mentioned table. BFL_STD_LAKE.PL_COE_MART.RAPIDLR_BRNCH_CHNL_MASTER bfl_std_lake.pl_coe_mart.PLTB_MASTER bfl_std_lake.pl_coe_mart.vw_ntb_master bfl_std_lake.pl_coe_mart.vw_rapidlr_dl_event_master bfl_std_lake.plds_biz.dnd_rk_campaign_master_ntb @Meetesh Kumar"
